Index: 152, SMILES: CCCC(O)CC, Num Nodes: 7, Num Edges: 12
Index: 153, SMILES: CC(=O)C=Cc1ccccc1, Num Nodes: 11, Num Edges: 22
Index: 154, SMILES: c1coc(Cn2cccc2)c1, Num Nodes: 11, Num Edges: 24
Index: 155, SMILES: CSCSC, Num Nodes: 5, Num Edges: 8
Index: 156, SMILES: C1CCC(SSC2CCCCC2)CC1, Num Nodes: 14, Num Edges: 30
Index: 157, SMILES: CCCCOC(C)OCC, Num Nodes: 10, Num Edges: 18
Index: 158, SMILES: CCCCCCOC(=O)C(C)C, Num Nodes: 12, Num Edges: 22
Index: 159, SMILES: CCCCCC=CC=CC=O, Num Nodes: 11, Num Edges: 20
Index: 160, SMILES: CCCCCC1CCCC(=O)O1, Num Nodes: 12, Num Edges: 24
Index: 161, SMILES: CC(C)C=CC=O, Num Nodes: 7, Num Edges: 12
Index: 162, SMILES: CC1=CC(=O)CCC1, Num Nodes: 8, Num Edges: 16
Index: 163, SMILES: CCC=CCCOC(C)OCC, Num Nodes: 12, Num Edges: 22
Index: 164, SMILES: C=CCCCCCCCCC(=O)OCC, Num Nodes: 15, Num Edges: 28
Index: 165, SMILES: O=C1OCc2ccccc21, Num Nodes: 10, Num Edges: 22
Index: 166, SMILES: CCCCCC(CC)OC(C)=O, Num Nodes: 12, Num Edges: 22
Index: 167, SMILES: C=C=CC(C)C(=O)OCC, Num Nodes: 10, Num Edges: 18
Index: 168, SMILES: CCCCCCCCCC(=O)OCCC(C)C, Num Nodes: 17, Num Edges: 32
Index: 169, SMILES: CC1(C)C2CCC1(C)C(OC=O)C2, Num Nodes: 13, Num Edges: 28
Index: 170, SMILES: CCCCCCC(=O)OCCCC, Num Nodes: 13, Num Edges: 24
Index: 171, SMILES: C=CC(O)CCCC, Num Nodes: 8, Num Edges: 14
Index: 172, SMILES: CCCCCCCC1CCC(=O)O1, Num Nodes: 13, Num Edges: 26
Index: 173, SMILES: O=Cc1ccc(CO)o1, Num Nodes: 9, Num Edges: 18
Index: 174, SMILES: CC(C)C=O, Num Nodes: 5, Num Edges: 8
Index: 175, SMILES: CCCCCCCCC(=O)OCCCC, Num Nodes: 15, Num Edges: 28
Index: 176, SMILES: COC(=O)CC(C)CCC=C(C)C, Num Nodes: 13, Num Edges: 24
Index: 177, SMILES: CCCCCCCC(OC)OC, Num Nodes: 12, Num Edges: 22
Index: 178, SMILES: CCCCCCCCC(=O)C(C)=O, Num Nodes: 13, Num Edges: 24
Index: 179, SMILES: CC(C)=CCCC(C)CCOCC=O, Num Nodes: 14, Num Edges: 26
Index: 180, SMILES: CCC(C)COC(C)OCCC(C)C, Num Nodes: 14, Num Edges: 26
Index: 181, SMILES: C=Cc1ccccc1OC, Num Nodes: 10, Num Edges: 20
Index: 182, SMILES: CCCCCOC(C)OCCCCC, Num Nodes: 14, Num Edges: 26
Index: 183, SMILES: CCOC(=O)COc1ccc(C)cc1, Num Nodes: 14, Num Edges: 28
Index: 184, SMILES: CCC(=O)OCC=C(C)CCC=C(C)C, Num Nodes: 15, Num Edges: 28
Index: 185, SMILES: SCc1ccco1, Num Nodes: 7, Num Edges: 14
Index: 186, SMILES: CCC=CCCOC(=O)CCC, Num Nodes: 12, Num Edges: 22
Index: 187, SMILES: CC=C(C)C(=O)OCCCC, Num Nodes: 11, Num Edges: 20
Index: 188, SMILES: CCC(C)CCO, Num Nodes: 7, Num Edges: 12
Index: 189, SMILES: CCCC(C)OC(C)=O, Num Nodes: 9, Num Edges: 16
Index: 190, SMILES: CC(C)CCOC(C)OCC(C)C, Num Nodes: 13, Num Edges: 24
Index: 191, SMILES: CCCC(=O)OCC=C(C)CCC=C(C)C, Num Nodes: 16, Num Edges: 30
Index: 192, SMILES: CCC=CCCO, Num Nodes: 7, Num Edges: 12
Index: 193, SMILES: CC(C)CCOC(=O)CC(C)C, Num Nodes: 12, Num Edges: 22
Index: 194, SMILES: CC1=NC(CC(C)C)SC1C, Num Nodes: 11, Num Edges: 22
Index: 195, SMILES: C=C1CCC2CC1C2(C)C, Num Nodes: 10, Num Edges: 22
Index: 196, SMILES: Cc1nc(C)c(C)nc1C, Num Nodes: 10, Num Edges: 20
Index: 197, SMILES: CC(=O)c1ccco1, Num Nodes: 8, Num Edges: 16
Index: 198, SMILES: CC(=O)c1ccccc1, Num Nodes: 9, Num Edges: 18
Index: 199, SMILES: CC1=C(C=O)C(C)(C)CCC1, Num Nodes: 11, Num Edges: 22
Index: 200, SMILES: CCCCC=CC(=O)O, Num Nodes: 9, Num Edges: 16
Index: 201, SMILES: COc1ccccc1C=O, Num Nodes: 10, Num Edges: 20
Index: 202, SMILES: CCOC(C)=O, Num Nodes: 6, Num Edges: 10
Index: 203, SMILES: CCC=CCCC=CCOC(C)=O, Num Nodes: 13, Num Edges: 24
Index: 204, SMILES: O=C(C=Cc1ccccc1)OC1CCCCC1, Num Nodes: 17, Num Edges: 36
Index: 205, SMILES: CCCCCCCCCC(=O)OCC, Num Nodes: 14, Num Edges: 26
Index: 206, SMILES: CCCCCCO, Num Nodes: 7, Num Edges: 12
Index: 207, SMILES: CC=CC(=O)C1C(C)=CCCC1(C)C, Num Nodes: 14, Num Edges: 28
Index: 208, SMILES: COc1ccc(CO)cc1, Num Nodes: 10, Num Edges: 20
Index: 209, SMILES: CCCCCCCO, Num Nodes: 8, Num Edges: 14
Index: 210, SMILES: CCCCCC#CC(=O)OC, Num Nodes: 11, Num Edges: 20
Index: 211, SMILES: Cc1cccc(C)n1, Num Nodes: 8, Num Edges: 16
Index: 212, SMILES: CCCCCCC(=O)OCC, Num Nodes: 11, Num Edges: 20
Index: 213, SMILES: CCCCCC(C=Cc1ccccc1)OC(C)=O, Num Nodes: 18, Num Edges: 36
Index: 214, SMILES: CC1OCCC1=O, Num Nodes: 7, Num Edges: 14
Index: 215, SMILES: OCc1ccc(O)cc1, Num Nodes: 9, Num Edges: 18
